"No.","Ticker","Company","Index","Sector","Industry","Country","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Book/sh","Cash/sh","Dividend","Dividend Yield","Payout Ratio","EPS (ttm)","EPS next Q","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","Sales growth quarter over quarter","EPS growth quarter over quarter","Sales","Income","EPS Surprise","Revenue Surprise","Shares Outstanding","Shares Float","Float %","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","All-Time High","All-Time Low","Relative Strength Index (14)","Earnings Date","IPO Date","Optionable","Shortable","Employees","Change from Open","Gap","Analyst Recom","Average Volume","Relative Volume","Volume","Trades","Target Price","Prev Close","Open","High","Low","Price","Change","After-Hours Close","After-Hours Change","Single Category","Asset Type","ETF Type","Sector/Theme","Region","Active/Passive","Net Expense Ratio","Total Holdings","Assets Under Management","Net Asset Value","Net Asset Value %","Net Flows (1 Month)","Net Flows % (1 Month)","Net Flows (3 Month)","Net Flows % (3 Month)","Net Flows (YTD)","Net Flows % (YTD)","Net Flows (1 Year)","Net Flows % (1 Year)","Return 1 Year","Return 3 Year","Return 5 Year","Return 10 Year","Return Since Inception","Tags"
1,"A","Agilent Technologies Inc.","S&P 500","Healthcare","Diagnostics & Research","USA",45016.95,36.59,25.16,4.55,6.68,7.27,25.75,27.30,21.12,5.96,0.94,0.62%,21.48%,4.20,1.19,1.15%,10.95%,33.93%,8.05%,7.00%,-5.58%,-0.13%,6735.00,1236.00,5.31%,4.45%,292.12,291.81,99.89%,0.42%,-11.35%,92.72%,-3.29%,1.61%,2.96,4.70,11.30%,20.95%,13.95%,2.68,2.04,0.43,0.44,54.54%,23.91%,18.35%,0.05%,0.01%,0.04%,-0.03%,0.00%,0.07%,-0.08%,0.61%,0.44%,0.41%,7.57%,12.29%,16.16%,42.95%,20.02%,10.49%,1.10,3.55,2.70%,2.53%,9.90%,7.33%,20.04%,0.52%,19.69%,0.52%,58.69%,-14.46%,2071.29%,69.66,5/29/2024 4:30:00 PM,11/18/1999,Yes,Yes,18100,0.47%,1.06%,2.33,1589.91,0.77,515895,7035,150.54,151.28,152.89,154.55,152.52,153.61,1.54%,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"AA","Alcoa Corp","-","Basic Materials","Aluminum","USA",7054.01,,19.06,,0.66,1.77,5.00,,22.24,7.86,0.35,0.89%,,-3.77,0.00,96.46%,2665.33%,,44.30%,-2.77%,-3.07%,-8.48%,10622.00,-672.00,-26.37%,2.12%,178.47,177.41,99.41%,1.20%,-1.28%,84.18%,-5.63%,6.88%,1.91,12.21,-4.68%,-15.48%,-10.40%,1.61,0.93,0.62,0.64,1.59%,-0.97%,-6.33%,-0.09%,-0.06%,-0.03%,-0.01%,-0.05%,0.04%,-0.19%,0.42%,-0.52%,-1.86%,7.22%,8.85%,46.64%,59.70%,6.20%,15.54%,2.43,1.53,3.66%,4.06%,7.10%,14.35%,31.46%,-3.81%,47.85%,-3.81%,70.29%,-59.95%,661.34%,62.69,4/17/2024 4:30:00 PM,10/18/2016,Yes,Yes,13600,-2.64%,1.31%,3.07,6402.22,0.81,2202772,10979,36.06,39.83,40.35,40.50,39.07,39.28,-1.37%,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"AAA","Alternative Access First Priority CLO Bond ETF","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,1.56,6.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.00%,0.00%,0.04%,0.04%,0.20%,0.24%,0.24%,0.00%,0.00%,0.36%,0.12%,-0.02%,1.11%,2.36%,0.68%,0.03,0.07,0.36%,0.25%,0.10%,0.13%,0.63%,-0.40%,0.50%,-0.51%,4.17%,-1.06%,4.58%,55.30,,9/9/2020,No,Yes,,0.12%,0.06%,,8.30,0.52,1836,20,,25.09,25.10,25.13,25.07,25.13,0.18%,,,"Bonds - Non Government Asset Backed Securities","Bonds","US Bonds",,"US","Active",0.25%,48,22536000,25.04,0.00,2503190.00,12.50,7495654.30,49.84,9997823.00,79.74,14953754.30,197.22,8.78,4.07,,,3.40,"U.S. debt debt-securities CLO"
4,"AAAU","Goldman Sachs Physical Gold ETF","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.02%,0.06%,0.02%,0.00%,-0.11%,-0.19%,0.23%,0.92%,0.68%,3.06%,-0.49%,19.52%,21.93%,17.84%,15.22%,0.21,0.29,0.75%,0.94%,1.92%,4.62%,16.00%,-2.18%,12.01%,-2.18%,31.02%,-2.18%,100.56%,62.31,,8/15/2018,No,Yes,,0.49%,0.43%,,2923.45,1.73,2133418,1262,,23.33,23.43,23.61,23.29,23.55,0.92%,,,"Commodities & Metals - Gold / Metals","Commodities & Metals","Global Commodities & Metals",,,"Passive",0.18%,1,699596000,23.20,0.01,19775870.00,2.91,794265.00,0.11,-6046635.00,-0.86,-55292360.50,-7.32,17.00,8.79,12.46,,12.68,"Global commodity gold physical"
5,"AACG","ATA Creativity Global ADR","-","Consumer Defensive","Education & Training Services","China",28.93,,,,0.91,1.82,3.63,,0.51,0.25,,,,-0.15,,,,25.83%,25.00%,1398.74%,8.25%,3.87%,31.63,-4.77,,,31.45,8.84,28.11%,,,16.36%,-0.77%,0.21%,0.59,0.02,-7.11%,-30.14%,-29.99%,0.23,0.22,0.19,0.36,51.74%,-19.27%,-15.07%,0.00%,0.00%,0.00%,0.00%,0.00%,-1.08%,0.61%,1.09%,-0.54%,-1.08%,4.90%,4.04%,-29.23%,7.61%,-42.50%,-20.67%,1.02,0.09,12.12%,8.90%,2.20%,-16.19%,-16.09%,-44.24%,16.11%,-44.24%,16.65%,-95.34%,324.03%,47.46,5/14/2024 4:30:00 PM,1/29/2008,No,Yes,581,1.09%,-1.07%,1.00,31.68,0.48,6402,54,6.50,0.92,0.91,0.93,0.89,0.92,0.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"AACI","Armada Acquisition Corp I","-","Financial","Shell Companies","USA",91.59,,,,,5.51,1831.89,,2.06,0.01,,,,-0.15,,,,,,0.00%,,-252.22%,0.00,-1.29,,,8.07,2.53,31.35%,68.71%,0.00%,22.37%,20.18%,0.61%,0.58,0.02,-1.43%,-1.56%,-7.74%,0.01,0.01,0.00,0.17,,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.00%,-1.22%,-2.83%,1.61%,4.11%,8.10%,14.42%,5.39%,-0.02,0.32,4.06%,2.49%,-1.38%,0.52%,6.16%,-9.42%,4.03%,-9.42%,11.29%,-9.42%,32.59%,46.73,,11/10/2021,No,Yes,2,-0.26%,-0.18%,,26.30,1.97,21940,57,,11.40,11.38,11.42,11.35,11.35,-0.44%,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"AACT","Ares Acquisition Corporation II","-","Financial","Shell Companies","USA",664.92,39.32,,,,1.31,405.44,,8.15,0.03,,,0.00%,0.27,,,,,,0.00%,,,0.00,16.92,,,50.00,49.25,98.50%,21.20%,0.00%,71.42%,,0.01%,0.02,0.00,,,3.29%,4.89,4.89,0.01,0.01,,0.00%,,0.00%,0.00%,0.17%,0.17%,0.18%,0.18%,0.18%,0.08%,0.13%,0.13%,0.18%,0.37%,1.32%,2.99%,,1.90%,,0.02,0.19%,0.22%,0.21%,0.47%,2.24%,-0.39%,1.03%,-1.08%,5.39%,-1.08%,5.39%,59.84,,6/12/2023,No,Yes,4,0.13%,0.43%,,164.34,0.31,21412,17,,10.58,10.62,10.62,10.62,10.64,0.55%,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"AADI","Aadi Bioscience Inc","RUT","Healthcare","Biotechnology","USA",46.77,,,,1.96,0.52,0.53,,3.68,3.60,,,,-2.55,-0.69,-4.10%,-12.44%,11.87%,,225.26%,-8.76%,-19.60%,23.84,-68.83,-8.97%,-17.26%,24.55,17.38,70.79%,29.23%,-3.34%,44.47%,13.61%,6.50%,3.28,1.13,-48.86%,-58.22%,-75.47%,5.16,4.86,0.01,0.08,87.70%,-313.00%,-288.72%,0.00%,0.00%,-0.26%,-0.26%,-0.26%,-1.04%,-1.04%,0.00%,0.79%,-1.22%,3.53%,6.42%,0.26%,-58.22%,-72.90%,-5.69%,0.66,0.15,11.91%,7.95%,1.25%,-6.13%,-45.28%,-22.24%,14.76%,-77.85%,22.90%,-98.12%,22.90%,48.56,5/8/2024 8:30:00 AM,8/8/2017,Yes,Yes,89,0.00%,1.33%,1.40,344.27,0.23,32891,214,11.00,1.88,1.90,1.93,1.88,1.90,1.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"AADR","AdvisorShares Dorsey Wright ADR ETF","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,0.43,0.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,-0.41%,-0.43%,-0.35%,0.09%,-0.12%,1.98%,8.73%,13.94%,30.59%,35.42%,15.64%,1.06,0.60,0.54%,0.49%,5.02%,5.63%,18.47%,0.37%,9.72%,0.37%,42.07%,-6.27%,165.22%,72.83,,7/21/2010,No,Yes,,-0.12%,0.49%,,1.29,1.05,571,9,,64.77,65.09,65.29,65.01,65.01,0.37%,,,"Global or ExUS Equities - Factor & Thematic","Equities (Stocks)","Global Ex. US Equities",,,"Active",1.10%,39,27482291,64.66,0.01,0.00,0.00,-1557700.00,-5.36,-1557700.00,-5.36,-10154700.00,-26.98,37.43,0.79,7.82,5.59,7.22,"International equity"
10,"AAGR","African Agriculture Holdings Inc","-","Consumer Defensive","Farm Products","USA",22.66,,,,29.05,,8.12,,-0.39,0.05,,,,-0.54,,,,,,83.79%,,-232.01%,0.78,-25.16,,,57.87,15.53,26.84%,73.17%,0.00%,4.75%,2.17%,3.11%,1.65,0.48,-76.45%,-700.26%,,0.16,0.12,,,-2286.12%,-3049.92%,-3220.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.08%,-0.05%,4.65%,4.65%,-3.95%,9.05%,-55.00%,-94.85%,-94.60%,-68.68%,-0.72,0.06,11.36%,15.49%,5.26%,-2.50%,-89.65%,-47.09%,34.95%,-96.56%,34.95%,-96.56%,34.95%,49.26,,10/5/2021,No,Yes,85,8.00%,-3.49%,,292.51,0.12,15212,51,,0.38,0.36,0.41,0.35,0.39,4.23%,,,,,,,,,,,,,,,,,,,,,,,,,,,
