"No.","Ticker","Company","Index","Sector","Industry","Country","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Book/sh","Cash/sh","Dividend","Dividend Yield","Payout Ratio","EPS (ttm)","EPS next Q","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","Sales growth quarter over quarter","EPS growth quarter over quarter","Sales","Income","EPS Surprise","Revenue Surprise","Shares Outstanding","Shares Float","Float %","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Short Float","Short Ratio","Short Interest","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","All-Time High","All-Time Low","Relative Strength Index (14)","Earnings Date","IPO Date","Optionable","Shortable","Employees","Change from Open","Gap","Analyst Recom","Average Volume","Relative Volume","Volume","Trades","Target Price","Prev Close","Open","High","Low","Price","Change","After-Hours Close","After-Hours Change","Single Category","Asset Type","ETF Type","Sector/Theme","Region","Active/Passive","Net Expense Ratio","Total Holdings","Assets Under Management","Net Asset Value","Net Asset Value %","Net Flows (1 Month)","Net Flows % (1 Month)","Net Flows (3 Month)","Net Flows % (3 Month)","Net Flows (YTD)","Net Flows % (YTD)","Net Flows (1 Year)","Net Flows % (1 Year)","Return 1 Year","Return 3 Year","Return 5 Year","Return 10 Year","Return Since Inception","Tags"
1,"A","Agilent Technologies Inc.","S&P 500","Healthcare","Diagnostics & Research","USA",40580.90,32.86,24.37,6.64,6.16,6.53,24.29,26.39,21.31,5.73,0.94,0.68%,21.48%,4.23,1.26,-4.37%,9.71%,33.93%,4.95%,7.00%,-8.39%,3.38%,6591.00,1242.00,2.42%,-0.56%,292.12,290.61,99.48%,0.39%,-6.76%,93.40%,-3.30%,1.23%,1.71,3.58,11.47%,20.71%,14.87%,2.15,1.64,0.34,0.41,54.65%,24.00%,18.84%,0.06%,-0.01%,-0.03%,-0.07%,-0.06%,-0.13%,0.16%,0.02%,0.17%,1.32%,1.70%,4.19%,-9.73%,5.18%,10.70%,0.04%,1.06,3.51,1.88%,2.70%,2.19%,4.50%,3.63%,-3.56%,12.02%,-10.47%,43.69%,-22.54%,1866.05%,56.58,8/21/2024 4:30:00 PM,11/18/1999,Yes,Yes,18100,1.58%,0.66%,2.48,2095.85,0.37,372116,5211,140.17,136.03,136.93,139.27,137.66,139.09,2.25%,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"AA","Alcoa Corp","-","Basic Materials","Aluminum","USA",8349.55,,12.25,,0.78,1.49,5.65,,21.71,5.72,0.40,1.24%,,-3.08,0.60,124.69%,370.77%,,63.40%,-2.77%,4.08%,119.28%,10733.00,-550.00,107.79%,2.18%,258.34,255.43,98.87%,1.13%,-0.95%,59.01%,-3.98%,6.38%,2.78,16.29,-3.87%,-12.58%,-8.64%,1.55,0.92,0.63,0.65,3.05%,0.29%,-5.12%,-0.03%,-0.03%,-0.08%,-0.05%,-0.02%,0.17%,0.42%,0.37%,0.33%,2.73%,5.52%,-12.20%,-19.28%,20.64%,6.53%,-4.94%,2.43,1.43,2.92%,3.98%,1.15%,-11.99%,-1.26%,-25.32%,19.17%,-28.94%,40.10%,-67.05%,526.36%,45.89,7/17/2024 4:30:00 PM,10/18/2016,Yes,Yes,13600,1.84%,2.04%,2.00,5851.12,1.01,2831185,11284,44.69,31.10,31.74,32.35,31.67,32.32,3.92%,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"AAA","Alternative Access First Priority CLO Bond ETF","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,1.59,6.36%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,-0.10%,-0.20%,-0.12%,-0.12%,-0.18%,-0.18%,0.24%,-0.36%,-0.30%,-0.46%,0.78%,0.24%,0.02,0.08,0.37%,0.27%,-0.19%,-0.25%,-0.17%,-1.03%,0.28%,-1.03%,3.72%,-1.49%,4.12%,45.03,,9/9/2020,No,Yes,,-0.18%,0.08%,,7.35,0.85,2980,15,,25.05,25.06,25.06,25.03,25.02,-0.10%,,,"Bonds - Non Government Asset Backed Securities","Bonds","US Bonds",,"US","Active",0.25%,45,22495320,24.99,0.00,0.00,0.00,0.00,0.00,9997823.00,80.00,14953754.30,198.28,7.75,4.48,,,3.58,"U.S. debt debt-securities CLO"
4,"AAAU","Goldman Sachs Physical Gold ETF","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.04%,0.00%,0.00%,0.00%,0.00%,0.04%,0.08%,0.41%,-0.65%,1.46%,0.04%,2.94%,23.45%,28.98%,19.01%,0.20,0.30,0.79%,1.02%,1.72%,3.40%,11.92%,-1.00%,7.44%,-1.00%,35.34%,-1.00%,107.17%,59.02,,8/15/2018,No,Yes,,0.33%,0.12%,,2121.27,0.74,750000,1013,,24.21,24.24,24.33,24.09,24.32,0.45%,,,"Commodities & Metals - Gold / Metals","Commodities & Metals","Global Commodities & Metals",,,"Passive",0.18%,1,763592238,24.45,-0.01,-2064040.00,-0.27,24550916.84,3.32,18504281.84,2.48,-7970653.96,-1.03,28.06,11.57,9.89,,12.81,"Global commodity gold physical"
5,"AACG","ATA Creativity Global ADR","-","Consumer Defensive","Education & Training Services","China",19.63,,,,0.58,1.78,3.56,,0.35,0.17,,,,-0.15,,,,25.83%,25.00%,1398.74%,38.45%,7.30%,33.61,-4.63,,,31.45,8.84,28.11%,,,0.78%,-0.78%,0.10%,0.45,0.01,-7.22%,-35.38%,-33.64%,0.18,0.18,0.25,0.48,53.17%,-17.01%,-13.77%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.42%,-0.42%,0.70%,0.54%,-3.49%,4.99%,-33.97%,-52.75%,-52.36%,-47.03%,0.82,0.05,6.17%,7.08%,-4.91%,-17.99%,-36.73%,-33.23%,11.47%,-62.77%,11.47%,-96.89%,183.13%,39.95,8/7/2024 4:30:00 PM,1/29/2008,No,Yes,581,0.54%,4.01%,1.00,20.64,0.16,1581,23,6.50,0.59,0.61,0.62,0.60,0.61,4.58%,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"AACI","Armada Acquisition Corp I","-","Financial","Shell Companies","USA",69.02,,,,,11.29,627.44,,0.86,0.02,,,,-0.20,,,,,,0.00%,,-1987.50%,0.00,-1.64,,,8.07,1.49,18.46%,79.09%,0.00%,15.21%,23.51%,0.19%,0.08,0.00,-6.21%,-9.14%,-26.85%,0.01,0.01,0.00,0.48,,0.00%,,0.00%,0.00%,1.63%,-1.22%,1.68%,-0.21%,-4.86%,-8.68%,-7.19%,-12.00%,-6.02%,-14.94%,-15.83%,-11.11%,-3.68%,-10.12%,-0.11,1.69,31.79%,17.56%,-9.01%,-13.15%,-12.06%,-33.24%,19.50%,-33.24%,19.50%,-33.24%,19.50%,45.51,,11/10/2021,No,Yes,2,-12.00%,-1.79%,,33.42,0.93,14899,101,,11.20,11.00,11.12,9.52,9.68,-13.57%,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"AACT","Ares Acquisition Corporation II","-","Financial","Shell Companies","USA",673.13,25.57,,,,1.31,480.80,,8.25,0.02,,,0.00%,0.42,,,,,,0.00%,,84.91%,0.00,26.33,,,50.00,50.00,100.00%,20.00%,0.00%,74.89%,,0.07%,0.14,0.04,5.01%,5.24%,5.06%,3.83,3.83,0.01,0.01,,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.09%,0.09%,0.09%,0.09%,0.09%,0.37%,0.75%,1.40%,2.57%,5.80%,3.16%,0.01,0.02,0.15%,0.18%,0.34%,0.69%,2.10%,0.09%,1.22%,0.09%,5.69%,0.09%,6.69%,67.13,,6/12/2023,No,Yes,4,0.09%,0.05%,,277.29,0.23,30570,25,,10.76,10.76,10.76,10.76,10.77,0.14%,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"AADI","Aadi Bioscience Inc","-","Healthcare","Biotechnology","USA",35.68,,,,1.50,0.39,0.45,,3.68,3.19,,,,-2.43,-0.55,7.54%,-8.16%,11.87%,,225.26%,-0.37%,19.25%,23.82,-65.44,21.74%,-0.18%,24.55,17.56,71.53%,28.66%,-3.32%,37.28%,13.57%,1.07%,0.95,0.19,-51.76%,-62.26%,-82.35%,4.20,3.92,0.01,0.01,87.76%,-296.67%,-274.77%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.68%,-0.68%,-0.68%,2.82%,4.10%,7.41%,-7.64%,-21.20%,-23.68%,-75.63%,-28.22%,0.68,0.10,8.14%,6.87%,-1.56%,-6.06%,-37.68%,-21.62%,19.83%,-79.97%,19.83%,-98.57%,19.83%,47.87,8/7/2024 8:30:00 AM,8/8/2017,Yes,Yes,89,4.32%,0.00%,1.40,198.91,0.21,19928,68,10.00,1.39,1.39,1.46,1.39,1.45,4.32%,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"AADR","AdvisorShares Dorsey Wright ADR ETF","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,0.83,1.34%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.27%,0.27%,1.02%,1.02%,6.70%,-0.12%,-4.77%,9.16%,22.07%,10.78%,1.05,1.04,0.37%,0.86%,3.43%,0.98%,6.15%,-3.13%,14.13%,-4.77%,34.31%,-10.21%,154.08%,57.52,,7/21/2010,No,Yes,,1.02%,0.85%,,0.91,0.10,42,4,,61.13,61.65,61.65,61.65,62.28,1.88%,,,"Global or ExUS Equities - Factor & Thematic","Equities (Stocks)","Global Ex. US Equities",,,"Active",1.10%,37,24460417,61.15,0.02,-876950.00,-3.46,-1500950.00,-5.78,-3058650.00,-11.11,-8688250.00,-26.21,18.95,-4.12,4.30,4.97,6.65,"International equity"
10,"AAGR","African Agriculture Holdings Inc","-","Consumer Defensive","Farm Products","USA",7.06,,,,5.60,,100.86,,-0.42,0.00,,,,-0.72,,,,,,83.79%,-16.93%,-24.46%,1.26,-37.30,,,57.87,15.65,27.04%,72.96%,0.00%,3.20%,2.18%,3.33%,0.32,0.52,-265.30%,-953.01%,,0.11,0.03,,,-1634.04%,-2752.45%,-2950.61%,0.00%,-2.09%,-2.09%,-2.09%,-2.09%,-4.09%,-4.24%,-3.86%,-5.06%,-3.17%,-12.23%,-32.97%,-67.48%,-85.98%,-98.34%,-90.24%,-0.75,0.02,8.44%,9.34%,-17.52%,-43.75%,-91.90%,-70.24%,0.83%,-98.93%,0.83%,-98.93%,0.83%,29.49,,10/5/2021,No,Yes,85,-5.13%,3.96%,,1653.84,0.03,27403,78,,0.12,0.13,0.13,0.12,0.12,-1.37%,,,,,,,,,,,,,,,,,,,,,,,,,,,
