"No.","Ticker","Company","Index","Sector","Industry","Country","Exchange","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Book/sh","Cash/sh","Dividend","Dividend Yield","Payout Ratio","EPS (ttm)","EPS next Q","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","Sales growth quarter over quarter","EPS growth quarter over quarter","Sales","Income","EPS Surprise","Revenue Surprise","Shares Outstanding","Shares Float","Float %","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Short Float","Short Ratio","Short Interest","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","All-Time High","All-Time Low","Relative Strength Index (14)","Earnings Date","IPO Date","Optionable","Shortable","Employees","Change from Open","Gap","Analyst Recom","Average Volume","Relative Volume","Volume","Trades","Target Price","Prev Close","Open","High","Low","Price","Change","After-Hours Close","After-Hours Change","Single Category","Asset Type","ETF Type","Sector/Theme","Region","Active/Passive","Net Expense Ratio","Total Holdings","Assets Under Management","Net Asset Value","Net Asset Value %","Net Flows (1 Month)","Net Flows % (1 Month)","Net Flows (3 Month)","Net Flows % (3 Month)","Net Flows (YTD)","Net Flows % (YTD)","Net Flows (1 Year)","Net Flows % (1 Year)","Return 1 Year","Return 3 Year","Return 5 Year","Return 10 Year","Return Since Inception","Tags"
1,"A","Agilent Technologies Inc","S&P 500","Healthcare","Diagnostics & Research","USA","NYSE",40946.25,32.39,23.46,4.63,6.29,6.93,30.81,29.82,20.68,4.65,0.99,0.69%,21.31%,4.43,1.27,5.20%,9.82%,5.63%,7.00%,5.04%,0.77%,-24.56%,6510.00,1289.00,3.54%,1.10%,285.19,284.37,99.71%,0.43%,-1.52%,91.06%,-1.32%,1.02%,1.68,2.91,11.36%,21.95%,13.73%,2.09,1.58,0.59,0.61,54.72%,24.52%,19.80%,0.08%,-0.03%,-0.03%,-0.12%,-0.26%,-0.21%,-0.12%,1.11%,-0.89%,-0.95%,4.34%,1.75%,-0.61%,5.37%,9.83%,6.72%,1.05,3.69,3.34%,2.22%,4.96%,5.13%,3.94%,-1.38%,14.80%,-7.71%,15.47%,-20.16%,1926.57%,67.38,11/25/2024 4:30:00 PM,11/18/1999,Yes,Yes,17900,-0.53%,0.50%,2.33,1735.13,1.24,1197621,12470,149.73,143.43,144.14,146.46,138.86,143.37,-0.04%,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"AA","Alcoa Corp","-","Basic Materials","Aluminum","USA","NYSE",9750.32,,9.39,,0.89,1.86,7.16,,20.32,5.27,0.40,1.06%,,-1.75,0.94,144.51%,297.84%,,,2.13%,6.63%,140.75%,10909.00,-292.00,128.64%,-2.12%,258.35,256.40,99.25%,0.76%,-1.20%,68.41%,-0.54%,3.21%,1.86,8.24,-2.05%,-5.98%,-3.78%,1.41,0.80,0.47,0.56,6.01%,3.14%,-2.68%,0.08%,0.11%,0.16%,0.10%,0.05%,0.16%,0.35%,-0.45%,0.39%,-0.29%,4.14%,-4.75%,-9.71%,-2.38%,25.67%,-0.11%,2.44,1.40,3.40%,3.44%,1.15%,-8.31%,-0.78%,-21.00%,8.60%,-21.00%,51.81%,-61.53%,631.40%,46.14,1/22/2025 4:30:00 PM,10/18/2016,Yes,Yes,13600,-0.29%,2.63%,1.80,4428.62,1.04,2574838,12454,49.00,36.88,37.85,38.08,37.10,37.74,2.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"AAA","Alternative Access First Priority CLO Bond ETF","-","Financial","Exchange Traded Fund","USA","NYSE",,,,,,,,,,,1.55,6.15%,,,,,,,,,,,,,,,,,,,,,,,2.32,0.03,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.14%,0.14%,0.34%,0.06%,0.06%,0.16%,0.30%,0.24%,0.28%,0.02,0.10,0.60%,0.38%,0.04%,0.12%,0.19%,-1.00%,0.54%,-1.00%,0.78%,-1.00%,4.64%,51.79,,9/9/2020,No,Yes,,0.12%,-0.10%,,12.71,1.07,7581,30,,25.14,25.12,25.16,25.11,25.15,0.02%,,,"Bonds - Non Government Asset Backed Securities","Bonds","US Bonds",,"US","Active",0.25%,47,27547410,25.04,0.00,2498210.00,9.97,4996760.00,22.16,0.00,0.00,14994583.00,119.45,6.32,5.20,,,3.80,"U.S. debt debt-securities CLO"
4,"AAAU","Goldman Sachs Physical Gold ETF","-","Financial","Exchange Traded Fund","USA","AMEX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.30,0.64,,,,,,,,,,,0.00%,0.03%,0.03%,-0.02%,0.02%,0.00%,0.06%,0.13%,0.52%,0.04%,1.62%,0.53%,1.47%,8.96%,31.26%,2.64%,0.19,0.25,0.69%,0.66%,2.04%,1.70%,7.62%,-2.71%,5.30%,-3.53%,35.54%,-3.53%,126.76%,58.42,,8/15/2018,No,Yes,,0.11%,0.45%,,2169.81,1.06,1277231,1536,,26.47,26.59,26.62,26.47,26.62,0.57%,,,"Commodities & Metals - Gold / Metals","Commodities & Metals","Global Commodities & Metals",,,"Passive",0.18%,1,916549694,26.39,0.01,-17180613.70,-1.84,11346791.30,1.25,-1435653.70,-0.16,101614849.64,12.47,31.86,14.01,11.35,,13.50,"Global commodity gold physical"
5,"AACBU","Artius II Acquisition Inc","-","Financial","Shell Companies","USA","NASD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"AACG","ATA Creativity Global ADR","-","Consumer Defensive","Education & Training Services","China","NASD",31.03,,,,0.89,3.29,5.53,,0.30,0.18,,,,-0.18,,,,25.83%,,24.82%,14.38%,-100.63%,34.79,-5.67,,,31.96,8.84,27.66%,,,0.79%,-0.24%,1.75%,4.02,0.15,-8.77%,-47.92%,-46.11%,0.16,0.16,0.30,0.60,51.81%,-20.39%,-16.30%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-1.32%,-3.51%,0.10%,2.85%,10.34%,-2.89%,44.93%,-4.80%,14.78%,0.83,0.06,6.32%,7.60%,10.99%,3.38%,16.15%,-8.40%,38.71%,-41.15%,94.20%,-95.08%,347.54%,59.81,11/7/2024 4:30:00 PM,1/29/2008,No,Yes,581,6.70%,-1.08%,1.00,38.42,1.82,38886,97,6.50,0.92,0.91,1.01,0.91,0.97,5.55%,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"AACT","Ares Acquisition Corporation II","-","Financial","Shell Companies","USA","NYSE",686.25,25.52,,,,1.31,576.68,,8.36,0.02,,,0.00%,0.43,,,,,,0.00%,,8.79%,0.00,26.89,,,50.00,46.46,92.92%,25.66%,0.00%,71.46%,,0.03%,0.12,0.02,5.05%,5.28%,5.10%,2.51,2.51,0.01,0.01,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.37%,1.67%,2.71%,4.97%,0.00%,0.00,0.02,0.13%,0.20%,0.15%,0.49%,2.00%,-0.18%,1.15%,-0.18%,5.07%,-0.18%,8.77%,65.03,,6/12/2023,No,Yes,4,-0.18%,0.18%,,128.38,0.00,296,7,,10.98,11.00,10.98,10.98,10.98,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"AADI","Aadi Bioscience Inc","-","Healthcare","Biotechnology","USA","NASD",74.78,,,,2.98,1.08,1.19,,2.80,2.54,,,,-2.29,-0.47,9.02%,54.50%,11.87%,,306.58%,21.03%,23.31%,25.07,-61.69,-0.55%,9.36%,24.61,20.12,81.76%,18.48%,-1.93%,52.89%,-16.62%,2.72%,1.58,0.55,-54.75%,-65.95%,-88.77%,4.89,4.54,0.01,0.01,87.39%,-253.63%,-246.06%,-1.62%,0.00%,0.00%,-0.82%,-1.62%,0.00%,-0.98%,-0.10%,-0.02%,1.34%,-18.77%,25.73%,40.93%,82.53%,76.16%,-3.96%,0.65,0.26,10.99%,11.52%,-0.39%,18.06%,53.44%,-20.51%,56.19%,-20.51%,150.41%,-97.01%,150.41%,52.07,11/6/2024 8:30:00 AM,8/8/2017,Yes,Yes,89,-0.66%,1.84%,3.00,346.48,0.63,120957,282,3.00,2.99,3.05,3.10,3.01,3.03,1.17%,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"AADR","AdvisorShares Dorsey Wright ADR ETF","-","Financial","Exchange Traded Fund","USA","NASD",,,,,,,,,,,0.92,1.27%,,,,,,,,,,,,,,,,,,,,,,,1.06,0.00,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.11%,-0.40%,0.18%,1.32%,3.02%,10.66%,12.78%,30.53%,4.68%,1.03,0.92,0.76%,0.69%,2.69%,5.34%,12.72%,0.15%,13.48%,0.15%,34.82%,0.15%,194.75%,62.89,,7/21/2010,No,Yes,,0.18%,1.40%,,2.58,0.38,540,14,,71.12,72.12,72.48,72.12,72.25,1.58%,,,"Global or ExUS Equities - Factor & Thematic","Equities (Stocks)","Global Ex. US Equities",,,"Active",1.10%,37,24170387,71.09,0.02,-2432200.00,-9.14,-3423700.00,-12.41,0.00,0.00,-7103350.00,-22.71,29.84,3.77,5.28,7.08,7.57,"International equity"
10,"AAL","American Airlines Group Inc","-","Industrials","Airlines","USA","NASD",11874.35,56.12,7.44,,0.22,,1.29,,-7.39,14.04,,,0.00%,0.32,0.65,-35.55%,42.27%,-17.73%,-1.23%,20.48%,1.22%,72.80%,53613.00,275.00,66.94%,1.10%,657.10,648.86,98.75%,1.26%,-1.22%,56.87%,-8.91%,6.98%,1.66,45.32,0.43%,,0.99%,0.57,0.47,,,20.34%,5.16%,0.51%,-0.11%,-0.17%,-0.19%,-0.28%,-0.42%,-0.47%,-0.50%,-0.69%,-0.96%,-2.85%,2.15%,4.81%,52.23%,61.48%,36.79%,3.67%,1.35,0.64,3.28%,3.30%,4.26%,13.79%,39.86%,-2.06%,39.86%,-2.06%,99.23%,-69.41%,119.03%,62.24,1/23/2025 8:30:00 AM,12/9/2013,Yes,Yes,132100,-2.58%,1.86%,2.12,27303.83,0.66,9991801,26751,20.67,18.21,18.55,18.56,18.08,18.07,-0.77%,,,,,,,,,,,,,,,,,,,,,,,,,,,
