"No.","Ticker","Company","Index","Sector","Industry","Country","Exchange","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Book/sh","Cash/sh","Dividend","Dividend Yield","Dividend TTM","Dividend Ex Date","Payout Ratio","EPS (ttm)","EPS next Q","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","Sales growth quarter over quarter","EPS growth quarter over quarter","EPS year over year TTM","Sales year over year TTM","Sales","Income","EPS Surprise","Revenue Surprise","Shares Outstanding","Shares Float","Float %","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Short Float","Short Ratio","Short Interest","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","52-Week Range","All-Time High","All-Time Low","Relative Strength Index (14)","Earnings Date","IPO Date","Optionable","Shortable","Employees","Change from Open","Gap","Analyst Recom","Average Volume","Relative Volume","Volume","Trades","Target Price","Prev Close","Open","High","Low","Price","Change","After-Hours Close","After-Hours Change","Single Category","Asset Type","ETF Type","Sector/Theme","Region","Active/Passive","Net Expense Ratio","Total Holdings","Assets Under Management","Net Asset Value","Net Asset Value %","Net Flows (1 Month)","Net Flows % (1 Month)","Net Flows (3 Month)","Net Flows % (3 Month)","Net Flows (YTD)","Net Flows % (YTD)","Net Flows (1 Year)","Net Flows % (1 Year)","Return 1 Year","Return 3 Year","Return 5 Year","Return 10 Year","Return Since Inception","Tags"
1,"A","Agilent Technologies Inc","S&P 500","Healthcare","Diagnostics & Research","USA","NYSE",29384.29,23.69,16.94,2.91,4.50,4.88,20.03,22.40,21.13,5.15,0.98,0.95%,0.97,4/1/2025,21.31%,4.35,1.27,5.16%,9.35%,5.63%,8.14%,5.04%,1.39%,-6.40%,3.67%,-3.00%,6533.00,1259.00,2.26%,-0.90%,285.23,283.98,99.56%,0.39%,-1.12%,90.01%,0.24%,1.27%,1.65,3.61,11.01%,20.61%,13.43%,2.20,1.66,0.56,0.56,54.34%,24.34%,19.27%,-0.01%,0.09%,0.02%,0.08%,0.01%,-0.09%,-0.24%,-0.66%,-0.76%,-1.84%,3.80%,-15.86%,-28.14%,-28.34%,-26.76%,-23.28%,1.28,4.93,7.26%,4.01%,-8.05%,-16.93%,-23.40%,-31.43%,6.88%,-33.66%,6.88%,96.43 - 155.35,-42.60%,1356.84%,36.04,2/26/2025 4:30:00 PM,11/18/1999,Yes,Yes,17900,-1.18%,-0.85%,2.05,2189.61,0.30,378965,7170,145.33,105.19,104.30,105.25,102.90,103.07,-2.02%,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"AA","Alcoa Corp","-","Basic Materials","Aluminum","USA","NYSE",6426.81,,8.50,,0.52,1.24,5.10,153.02,19.96,4.86,0.40,1.61%,0.40,3/4/2025,142.65%,-0.14,1.67,142.20%,-10.70%,,39.70%,4.46%,53.20%,192.28%,96.53%,14.80%,12290.00,60.00,9.72%,3.44%,258.36,256.75,99.38%,0.82%,-1.11%,69.74%,0.46%,4.31%,1.94,11.07,0.43%,1.28%,0.76%,1.45,0.86,0.52,0.54,14.26%,11.55%,0.49%,-0.10%,0.07%,0.06%,-0.04%,-0.24%,-0.50%,-0.54%,-0.42%,-0.73%,-0.26%,9.99%,-28.64%,-32.69%,-39.48%,-29.47%,-34.29%,2.30,2.12,12.20%,7.09%,-14.73%,-23.17%,-31.66%,-35.65%,15.30%,-48.03%,15.30%,21.53 - 47.77,-74.69%,381.10%,35.90,4/16/2025 4:30:00 PM,10/18/2016,Yes,Yes,13900,1.29%,-2.00%,2.00,5720.35,0.52,1714608,11463,37.09,25.01,24.51,25.37,24.44,24.83,-0.74%,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"AAA","Alternative Access First Priority CLO Bond ETF","-","Financial","Exchange Traded Fund","USA","NYSE",,,,,,,,,,,1.48,5.98%,1.48,3/27/2025,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.00,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.14%,0.14%,0.14%,-0.27%,0.53%,-0.04%,0.08%,-0.84%,-1.43%,-1.24%,-1.24%,-1.18%,0.03,0.18,1.06%,0.60%,-0.31%,-0.93%,-1.18%,-2.02%,1.85%,-2.44%,1.85%,24.33 - 25.40,-2.44%,3.12%,46.03,,9/9/2020,No,Yes,,-0.04%,0.04%,,30.97,0.11,2005,16,,24.78,24.79,24.86,24.65,24.78,0.00%,,,"Bonds - Non Government Asset Backed Securities","Bonds","US Bonds",,"US","Active",0.25%,47,42159320,24.80,-0.00,-2475600.00,-5.55,15061280.00,55.58,15061280.00,55.58,22561230.00,115.12,4.24,5.30,,,3.56,"U.S. debt debt-securities CLO"
4,"AAAU","Goldman Sachs Physical Gold ETF","-","Financial","Exchange Traded Fund","USA","AMEX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49,0.86,,,,,,,,,,,-0.00%,0.04%,0.01%,-0.00%,0.01%,-0.00%,0.06%,-0.02%,0.11%,-0.11%,7.95%,7.35%,20.26%,21.20%,37.27%,22.74%,0.12,0.48,1.31%,1.17%,4.42%,7.95%,19.80%,-0.74%,14.51%,-0.74%,41.17%,22.55 - 32.07,-0.74%,171.17%,69.03,,8/15/2018,Yes,Yes,,0.01%,0.25%,,1739.90,0.79,788868,1355,,31.75,31.83,31.88,31.74,31.83,0.26%,,,"Commodities & Metals - Gold / Metals","Commodities & Metals","Global Commodities & Metals",,,"Passive",0.18%,1,1392475310,31.92,-0.00,91181091.50,7.01,259168531.50,22.87,257732877.80,22.71,401900106.14,40.57,35.16,18.27,14.10,,16.09,"Global commodity gold physical"
5,"AACB","Artius II Acquisition Inc","-","Financial","Shell Companies","USA","NASD",275.14,,,,,90363.63,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,27.68,22.00,79.48%,20.51%,0.00%,,,,,,,,,0.03,0.03,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.40%,0.40%,0.40%,0.00%,0.00%,-0.10%,,,,,0.61%,,0.07,0.16%,,0.34%,0.34%,0.34%,-1.58%,0.91%,-1.58%,0.91%,9.85 - 10.10,-1.58%,0.91%,,,4/7/2025,No,Yes,1,0.00%,0.40%,,279.79,0.00,677,6,,9.90,9.94,9.94,9.90,9.94,0.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"AACBU","Artius II Acquisition Inc","-","Financial","Shell Companies","USA","NASD",279.57,,,,,91818.19,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,27.68,22.18,80.13%,19.87%,0.00%,7.15%,,3.97%,2.72,0.88,,,,0.03,0.03,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.60%,,,,1.00%,,0.02,0.27%,0.19%,0.29%,0.50%,0.50%,-0.39%,1.00%,-0.39%,1.00%,10.00 - 10.14,-0.39%,1.00%,61.30,,2/13/2025,No,Yes,1,0.00%,0.28%,,324.29,0.00,1,1,,10.07,10.10,10.10,10.10,10.10,0.28%,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"AACG","ATA Creativity Global ADR","-","Consumer Defensive","Education & Training Services","China","NASD",30.04,,,,0.81,2.75,6.01,,0.35,0.16,,,,8/27/2018,,-0.16,,,,26.78%,,23.68%,21.36%,55.32%,-1.55%,19.75%,37.26,-5.01,,,31.62,8.84,27.96%,,,0.40%,-1.60%,1.11%,2.56,0.10,-7.67%,-37.31%,-37.77%,0.19,0.19,0.22,0.44,52.70%,-16.10%,-13.45%,0.00%,1.71%,1.54%,1.06%,1.06%,0.00%,0.99%,4.97%,5.56%,0.00%,2.15%,11.76%,3.27%,1.02%,3.26%,12.29%,1.00,0.09,9.76%,8.72%,0.37%,4.15%,13.56%,-13.64%,33.24%,-14.41%,90.00%,0.50 - 1.11,-95.19%,337.86%,51.99,3/25/2025 4:30:00 PM,1/29/2008,No,Yes,599,1.39%,-1.36%,1.00,38.45,0.74,16295,96,6.50,0.95,0.94,0.98,0.89,0.95,0.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"AACT","Ares Acquisition Corporation II","-","Financial","Shell Companies","USA","NYSE",698.13,26.86,,,,1.32,712.37,,8.46,0.02,,,,,0.00%,0.42,,,,,,0.00%,,-13.04%,53.66%,,0.00,25.99,,,50.00,50.00,100.00%,20.00%,0.00%,76.27%,,0.02%,0.02,0.01,4.82%,5.04%,4.87%,1.49,1.49,0.01,0.01,,,,0.00%,0.00%,0.09%,0.09%,0.04%,0.00%,0.00%,0.04%,-0.10%,-0.18%,0.00%,0.00%,1.73%,3.23%,5.18%,1.73%,-0.00,0.03,0.27%,0.27%,0.04%,0.52%,2.39%,-0.45%,1.55%,-0.45%,5.58%,10.58 - 11.22,-0.45%,10.65%,56.67,,6/12/2023,No,Yes,4,0.09%,0.00%,,603.97,1.67,574809,367,,11.16,11.16,11.19,11.16,11.17,0.09%,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"AADR","AdvisorShares Dorsey Wright ADR ETF","-","Financial","Exchange Traded Fund","USA","NASD",,,,,,,,,,,0.92,1.29%,0.92,3/21/2025,,,,,,,,,,,,,,,,,,,,,,,,,2.20,0.02,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.26%,-0.06%,13.91%,-9.21%,0.06%,10.05%,16.39%,3.12%,0.95,2.50,5.30%,2.70%,-1.63%,-4.42%,5.07%,-11.24%,15.69%,-11.24%,30.42%,54.57 - 80.18,-11.24%,190.35%,48.33,,7/21/2010,No,Yes,,-1.28%,1.31%,,8.59,0.50,2468,28,,71.16,72.09,72.09,71.35,71.17,0.01%,,,"Global or ExUS Equities - Factor & Thematic","Equities (Stocks)","Global Ex. US Equities",,,"Active",1.10%,37,35448968,70.90,0.00,5783800.00,19.50,12240800.00,52.74,12240800.00,52.74,6695150.00,23.28,14.49,6.78,10.82,6.11,7.44,"International equity"
10,"AAL","American Airlines Group Inc","-","Industrials","Airlines","USA","NASD",6485.60,8.90,4.11,0.64,0.12,,0.84,4.99,-6.05,11.73,,,,2/4/2020,0.00%,1.11,-0.66,-24.16%,61.47%,-20.93%,13.91%,16.92%,4.58%,2721.11%,2.20%,2.70%,54211.00,846.00,29.83%,1.74%,657.57,648.18,98.57%,1.43%,-1.61%,68.28%,22.77%,7.89%,0.96,51.17,1.36%,,3.12%,0.54,0.43,,,21.15%,5.95%,1.56%,0.03%,0.18%,0.28%,0.39%,0.28%,-0.32%,-0.17%,-0.28%,-0.17%,3.28%,8.74%,-12.87%,-45.84%,-16.35%,-25.00%,-43.41%,1.32,0.79,11.89%,6.84%,-5.92%,-23.28%,-24.72%,-43.32%,16.03%,-48.36%,16.03%,8.50 - 19.10,-83.31%,19.55%,41.21,4/24/2025 8:30:00 AM,12/9/2013,Yes,Yes,133300,2.95%,0.00%,2.00,53360.08,1.25,38076534,35931,15.12,9.58,9.58,9.97,9.59,9.86,2.95%,,,,,,,,,,,,,,,,,,,,,,,,,,,
