"No.","Ticker","Company","Index","Sector","Industry","Country","Exchange","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Book/sh","Cash/sh","Dividend","Dividend Yield","Dividend TTM","Dividend Ex Date","Payout Ratio","EPS (ttm)","EPS next Q","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","Sales growth quarter over quarter","EPS growth quarter over quarter","EPS year over year TTM","Sales year over year TTM","Sales","Income","EPS Surprise","Revenue Surprise","Shares Outstanding","Shares Float","Float %","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Short Float","Short Ratio","Short Interest","Return on Assets","Return on Equity","Return on Invested Capital","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","52-Week Range","All-Time High","All-Time Low","Relative Strength Index (14)","Earnings Date","IPO Date","Optionable","Shortable","Employees","Change from Open","Gap","Analyst Recom","Average Volume","Relative Volume","Volume","Trades","Target Price","Prev Close","Open","High","Low","Price","Change","After-Hours Close","After-Hours Change","Single Category","Asset Type","ETF Type","Sector/Theme","Region","Active/Passive","Net Expense Ratio","Total Holdings","Assets Under Management","Net Asset Value","Net Asset Value %","Net Flows (1 Month)","Net Flows % (1 Month)","Net Flows (3 Month)","Net Flows % (3 Month)","Net Flows (YTD)","Net Flows % (YTD)","Net Flows (1 Year)","Net Flows % (1 Year)","Return 1 Year","Return 3 Year","Return 5 Year","Return 10 Year","Return Since Inception","Tags"
1,"A","Agilent Technologies Inc","S&P 500","Healthcare","Diagnostics & Research","USA","NYSE",33258.30,28.88,19.33,3.61,5.02,5.42,22.38,27.97,21.61,5.23,0.98,0.84%,0.97,7/1/2025,21.31%,4.05,1.37,5.39%,8.63%,5.63%,8.01%,4.75%,6.04%,-28.23%,-4.08%,0.56%,6628.00,1166.00,3.57%,2.54%,283.94,282.92,99.64%,0.40%,-1.10%,90.68%,1.57%,1.46%,1.80,4.14,10.13%,18.88%,12.29%,2.09,1.60,0.55,0.57,53.95%,23.94%,17.59%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.50%,-0.85%,1.11%,4.99%,-3.38%,-17.51%,-11.38%,-12.85%,1.24,3.01,2.12%,1.71%,2.85%,7.11%,-9.66%,-4.68%,21.41%,-23.89%,21.41%,96.43 - 153.84,-34.80%,1554.94%,57.35,5/28/2025 4:30:00 PM,11/18/1999,Yes,Yes,17900,0.34%,-1.88%,2.10,2292.90,0.72,1652070,18593,136.79,118.91,116.68,118.90,116.45,117.08,-1.54%,116.50,-0.50%,,,,,,,,,,,,,,,,,,,,,,,,,
2,"AA","Alcoa Corp","-","Basic Materials","Aluminum","USA","NYSE",7339.88,8.39,10.99,0.20,0.57,1.26,5.53,21.09,22.46,5.13,0.40,1.41%,0.40,5/20/2025,142.65%,3.38,0.75,164.15%,-27.69%,,42.92%,3.03%,23.45%,249.72%,190.21%,21.56%,12912.00,860.00,27.88%,-3.05%,258.90,257.80,99.58%,0.43%,0.00%,75.77%,0.18%,3.97%,1.56,10.23,5.95%,17.53%,10.25%,1.71,1.00,0.44,0.46,18.94%,16.28%,6.66%,0.00%,0.03%,0.03%,-0.00%,0.07%,0.07%,0.07%,0.91%,0.60%,0.03%,1.21%,-4.26%,-15.45%,-31.01%,-29.50%,-24.96%,2.26,1.11,1.11%,1.72%,0.67%,6.89%,-18.35%,-8.81%,31.68%,-40.65%,31.68%,21.53 - 47.77,-71.10%,449.42%,53.95,4/16/2025 4:30:00 PM,10/18/2016,Yes,Yes,13900,1.00%,-2.74%,1.77,6572.93,0.49,3202493,22130,32.06,28.86,28.07,28.64,28.00,28.35,-1.77%,28.36,0.03%,,,,,,,,,,,,,,,,,,,,,,,,,
3,"AAA","Alternative Access First Priority CLO Bond ETF","-","Financial","Exchange Traded Fund","USA","NYSE",,,,,,,,,,,1.44,5.77%,1.44,5/30/2025,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.00,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,-0.18%,-0.18%,-0.18%,-0.18%,0.02%,-0.10%,0.16%,0.18%,-0.30%,-0.52%,-0.42%,-0.40%,0.03,0.11,0.11%,0.21%,0.12%,0.38%,-0.28%,-0.18%,2.65%,-1.67%,2.65%,24.33 - 25.40,-1.67%,3.93%,53.69,,9/9/2020,No,Yes,,0.08%,-0.18%,,15.08,0.69,10422,89,,25.00,24.95,25.02,24.92,24.98,-0.10%,24.98,0.00%,"Bonds - Non Government Asset Backed Securities","Bonds","US Bonds",,"US","Active",0.25%,46,42479940,24.99,-0.00,0.00,0.00,-2475600.00,-5.51,15061280.00,54.93,20058040.00,89.46,4.99,6.22,,,3.80,"U.S. debt debt-securities CLO"
4,"AAAU","Goldman Sachs Physical Gold ETF","-","Financial","Exchange Traded Fund","USA","CBOE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49,1.10,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.18%,0.27%,3.65%,7.92%,14.97%,27.41%,48.01%,30.75%,0.11,0.50,0.59%,1.21%,3.24%,4.63%,19.51%,-0.38%,16.05%,-0.38%,49.38%,22.70 - 34.04,-0.38%,188.86%,62.04,,8/15/2018,Yes,Yes,,-0.26%,1.60%,,2253.02,2.03,4563499,4345,,33.47,34.00,34.05,33.78,33.91,1.33%,34.00,0.27%,"Commodities & Metals - Gold / Metals","Commodities & Metals","Global Commodities & Metals",,,"Passive",0.18%,1,1509975100,33.50,0.01,-32107975.00,-2.08,137867601.50,10.05,304419387.80,25.25,399837746.54,36.02,48.01,22.61,14.66,,16.79,"Global commodity gold physical"
5,"AACB","Artius II Acquisition Inc","-","Financial","Shell Companies","USA","NASD",297.82,,,,,1.42,827.28,,7.11,0.01,,,,,,,,,,,,,,,,,,,,,23.65,23.48,99.28%,20.15%,0.00%,11.85%,,0.01%,0.02,0.00,,,,5.42,5.42,0.00,0.00,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.20%,1.60%,,,,2.53%,,0.02,0.10%,0.13%,0.64%,1.35%,1.35%,0.00%,2.84%,0.00%,2.84%,9.85 - 10.13,0.00%,2.84%,80.97,,4/7/2025,No,Yes,1,0.00%,0.00%,,165.69,0.03,5036,2,,10.13,10.13,10.13,10.13,10.13,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"AACG","ATA Creativity Global ADR","-","Consumer Defensive","Education & Training Services","China","NASD",26.67,,,,0.70,2.91,4.91,,0.29,0.17,,,,8/27/2018,,-0.14,,,,26.78%,,21.36%,14.52%,27.80%,10.87%,20.89%,38.23,-4.35,,,31.96,8.84,27.66%,,,0.56%,0.30%,0.94%,4.68,0.08,-6.80%,-38.69%,-37.79%,0.20,0.20,0.26,0.71,52.51%,-13.84%,-11.37%,0.00%,0.00%,0.00%,-2.95%,-0.05%,-0.25%,0.00%,-0.22%,-0.01%,0.00%,-1.68%,-11.21%,-9.27%,-0.64%,1.78%,-1.35%,0.88,0.05,2.94%,3.39%,-5.20%,-8.80%,-5.55%,-18.97%,5.65%,-24.13%,66.92%,0.50 - 1.10,-95.77%,284.67%,42.03,3/25/2025 4:30:00 PM,1/29/2008,No,Yes,599,1.04%,0.35%,1.00,17.73,0.48,8510,89,6.50,0.82,0.83,0.84,0.81,0.83,1.40%,0.81,-2.95%,,,,,,,,,,,,,,,,,,,,,,,,,
7,"AACIU","Armada Acquisition Corp. II","-","Financial","Shell Companies","USA","NASD",239.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.71,15.43,65.08%,,,,,1.09%,0.18,0.17,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.05%,-0.05%,-0.09%,0.25%,,,,,0.90%,,0.02,0.13%,,0.52%,0.52%,0.52%,0.10%,1.00%,0.10%,1.00%,10.01 - 10.10,0.10%,1.00%,84.98,,5/22/2025,No,Yes,,0.10%,0.00%,,918.75,0.10,93386,7,,10.10,10.10,10.12,10.10,10.11,0.10%,10.11,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,
8,"AACT","Ares Acquisition Corporation II","-","Financial","Shell Companies","USA","NYSE",699.01,31.27,,,,1.33,1059.11,,8.51,0.01,,,,,0.00%,0.36,,,,,,,,-53.18%,-3.08%,,0.00,22.59,,,50.00,46.39,92.78%,25.00%,0.00%,74.31%,,0.10%,0.05,0.05,4.15%,4.34%,4.21%,0.24,0.24,0.01,0.01,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.35%,-1.05%,0.18%,1.35%,3.39%,5.95%,2.91%,0.00,0.05,0.15%,0.41%,-0.47%,0.21%,2.47%,-2.75%,1.53%,-2.75%,6.15%,10.65 - 11.62,-2.75%,11.94%,44.82,,6/12/2023,Yes,Yes,4,-0.09%,0.00%,,927.49,0.15,136825,214,,11.31,11.31,11.33,11.29,11.30,-0.09%,11.27,-0.27%,,,,,,,,,,,,,,,,,,,,,,,,,
9,"AADR","AdvisorShares Dorsey Wright ADR ETF","-","Financial","Exchange Traded Fund","USA","NASD",,,,,,,,,,,0.92,1.19%,0.92,3/21/2025,,,,,,,,,,,,,,,,,,,,,,,,,0.50,0.00,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,-0.22%,-0.09%,-0.09%,0.22%,-0.68%,-1.40%,-2.77%,0.00%,11.09%,23.10%,11.58%,0.93,1.15,0.73%,0.91%,-1.89%,2.61%,8.65%,-5.13%,25.18%,-5.13%,41.12%,54.57 - 81.17,-5.13%,214.17%,46.50,,7/21/2010,No,Yes,,-0.22%,-1.21%,,8.28,0.10,826,14,,78.13,77.18,77.18,77.01,77.01,-1.43%,77.01,0.00%,"Global or ExUS Equities - Factor & Thematic","Equities (Stocks)","Global Ex. US Equities",,,"Active",1.10%,37,45911195,77.16,-0.00,1577200.00,3.56,12951350.00,39.29,19408350.00,73.23,13862700.00,43.26,23.10,11.50,8.71,6.93,7.93,"International equity"
10,"AAL","American Airlines Group Inc","-","Industrials","Airlines","USA","NASD",6839.14,11.97,5.03,1.23,0.13,,0.84,4.34,-6.84,12.30,,,,2/4/2020,0.00%,0.87,0.78,-51.30%,115.97%,-20.93%,9.76%,3.44%,-0.15%,-50.91%,36.07%,1.92%,54192.00,685.00,14.99%,0.11%,659.48,649.21,98.44%,1.56%,-1.48%,66.97%,-1.83%,10.20%,1.05,66.20,1.08%,,2.61%,0.52,0.42,,,20.89%,5.44%,1.26%,0.09%,0.09%,0.09%,0.09%,0.19%,0.09%,0.19%,0.19%,0.19%,0.28%,-11.97%,-12.42%,-4.60%,-40.71%,-8.07%,-40.50%,1.37,0.46,3.38%,2.61%,-9.17%,-2.79%,-21.42%,-16.67%,22.00%,-45.71%,22.00%,8.50 - 19.10,-82.45%,25.70%,37.29,4/24/2025 8:30:00 AM,12/9/2013,Yes,Yes,133300,0.47%,-5.30%,2.04,63050.52,1.15,72781103,88203,13.60,10.90,10.32,10.65,10.30,10.37,-4.86%,10.40,0.28%,,,,,,,,,,,,,,,,,,,,,,,,,
