date,primary_class,reason,secondary_class,p_primary,p_secondary,transition_4q_p,GDP,CPI,Unemp,Unemp_delta,M2_yoy,ATH,NBER_flag,market_code
1950-03-31,Overheating,High GDP 3.8%; war boom; M2 surge,Expansion,0.62,0.18,0.85,3.8,1.7,5.2,-0.1,5.2,1,0,1
1950-06-30,Overheating,GDP 7.3%; rising CPI; M2 growth,Expansion,0.65,0.16,0.85,7.3,1.9,4.9,-0.3,5.4,1,0,1
1950-09-30,Overheating,GDP 10.3%; low unemp; ATH S&P,Expansion,0.68,0.15,0.85,10.3,2.2,4.5,-0.4,5.6,1,0,1
1950-12-31,Overheating,GDP 13.4%; high M2; inflation up,Expansion,0.7,0.14,0.85,13.4,2.5,4.1,-0.4,5.8,1,0,1
1951-03-31,Overheating,GDP 10.6%; CPI >4%; low unemp,Stagflation,0.63,0.17,0.85,10.6,7.7,3.9,-0.2,6.1,1,0,1
1951-06-30,Overheating,GDP 9.2%; tight labor; ATH S&P,Stagflation,0.66,0.16,0.85,9.2,8.9,3.7,-0.2,6.3,1,0,1
1951-09-30,Overheating,GDP 7.3%; wage pressures; M2 high,Expansion,0.69,0.15,0.85,7.3,9.4,3.5,-0.2,6.5,1,0,1
1951-12-31,Expansion,GDP 5.5%; stable CPI 2-3%; unemp 3-4%,Overheating,0.58,0.19,0.43,5.5,7.7,3.3,-0.2,6.2,1,0,0
1952-03-31,Expansion,GDP 5.2%; moderate growth; stable M2,Overheating,0.56,0.21,0.43,5.2,2.0,3.3,0.0,5.9,1,0,0
1952-06-30,Expansion,GDP 3.6%; unemp stable; no ATH,Overheating,0.55,0.22,0.43,3.6,1.8,3.4,0.1,5.7,1,0,0
1952-09-30,Expansion,GDP 2.8%; CPI 1.5%; steady conditions,Overheating,0.54,0.23,0.43,2.8,1.6,3.5,0.1,5.5,1,0,0
1952-12-31,Expansion,GDP 4.1%; balanced indicators; M2 5%,Overheating,0.53,0.24,0.43,4.1,1.4,3.6,0.1,5.3,1,0,0
1953-03-31,Overheating,GDP 6.2%; low unemp; rising CPI,Expansion,0.64,0.17,0.85,6.2,1.9,3.4,-0.2,5.6,1,0,1
1953-06-30,Overheating,GDP 6.8%; pre-recession peak; ATH,Expansion,0.67,0.16,0.85,6.8,1.1,3.2,-0.2,5.8,1,0,1
1953-09-30,Recession,NBER start; GDP 0.5%; unemp rising,Stagflation,0.75,0.12,0.9,0.5,0.4,3.5,0.3,4.9,0,1,2
1953-12-31,Recession,GDP -1.8%; low M2; falling CPI,Stagflation,0.78,0.1,0.9,-1.8,-0.3,4.0,0.5,4.2,0,1,2
1954-03-31,Recession,GDP -2.4%; unemp >6%; no growth,Stagflation,0.81,0.09,0.9,-2.4,-1.2,4.6,0.6,3.8,0,1,2
1954-06-30,Recession,GDP -1.2%; NBER trough; stress,Stagflation,0.84,0.08,0.9,-1.2,-1.0,5.3,0.7,3.5,0,1,2
1954-09-30,Recovery,GDP 4.5%; unemp drop; M2 surge,Expansion,0.59,0.2,0.86,4.5,-0.6,5.0,-0.3,4.1,0,0,3
1954-12-31,Recovery,GDP 7.7%; post-trough; low CPI,Expansion,0.57,0.21,0.86,7.7,-0.5,4.6,-0.4,4.4,0,0,3
