date,book,dividend,div_growth,div_yield,earn,earn_yld,earn_growth,real_earn_growth,sp500_pe,sp500,sp500_adj,price_book,price_sales,cape_shiller,sales,sales_growth,real_sales,real_sales_growth,1mo_ustreas,6mo_ustreas,1yr_ustreas,2yr_ustreas,3yr_ustreas,5yr_ustreas,10yr_ustreas,20yr_ustreas,30yr_ustreas,5yr_real_int,10yr_real_int,20yr_real_int,30yr_real_int,cpi,fed_debt,gdp,gdp_growth,real_gdp,real_gdp_growth,real_gdp_per_cap,us_home_prices,us_avg_income,us_med_income,us_med_income_growth,us_med_real_income,us_infl,us_pop,us_pop_growth
1871-03-31,,6.47,,0.0564,9.95,0.0868,,,11.52,4.61,114.65,,,11.19,,,,,,,,,,,0.0533,,,,,,,13.03,,,,,,,,,,,,,,
1871-06-30,,6.97,,0.053899999999999997,10.73,0.083,,,12.05,4.82,129.3,,,12.59,,,,,,,,,,,0.053399999999999996,,,,,,,12.08,,,,,,,,,,,,,,
1871-09-30,,6.92,,0.0537,10.64,0.08259999999999999,,,12.1,4.84,128.77,,,12.31,,,,,,,,,,,0.0535,,,,,,,12.18,,,,,,,,,,,,,,
1871-12-31,,6.66,,0.054900000000000004,10.25,0.08439999999999999,,,11.85,4.74,121.42,,,11.59,,,,,,,,,,,0.0536,,,,,,,12.65,,,,,,,,,,,,,,
1872-03-31,,6.81,,0.0536,10.28,0.0809,,,12.37,5.04,127.2,,,12.18,,,,,,,,,,,0.054000000000000006,,,,,,,12.84,,,,,,,,,,,,-0.0146,,
1872-06-30,,6.96,,0.0546,10.32,0.0809,,,12.36,5.13,127.58,,,12.27,,,,,,,,,,,0.0545,,,,,,,13.03,,,,,,,,,,,,0.0786,,
1872-09-30,,7.21,,0.058600000000000006,10.51,0.08539999999999999,,,11.72,4.95,123.11,,,11.83,,,,,,,,,,,0.055099999999999996,,,,,,,13.03,,,,,,,,,,,,0.0698,,
1872-12-31,,7.51,,0.0592,10.77,0.0848,,,11.79,5.07,126.97,,,12.17,,,,,,,,,,,0.0556,,,,,,,12.94,,,,,,,,,,,,0.0229,,
1873-03-31,,7.53,,0.0602,10.72,0.08560000000000001,,,11.68,5.11,125.16,,,11.95,,,,,,,,,,,0.0556,,,,,,,13.23,,,,,,,,,,,,0.0304,,
1873-06-30,,8.13,,0.0633,11.48,0.0894,,,11.19,4.98,128.49,,,12.22,,,,,,,,,,,0.0553,,,,,,,12.56,,,,,,,,,,,,-0.0361,,
1873-09-30,,8.32,,0.0703,11.67,0.0986,,,10.14,4.59,118.42,,,11.16,,,,,,,,,,,0.055099999999999996,,,,,,,12.56,,,,,,,,,,,,-0.0361,,
1873-12-31,,8.78,,0.0747,12.24,0.1041,,,9.61,4.42,117.6,,,10.96,,,,,,,,,,,0.0548,,,,,,,12.18,,,,,,,,,,,,-0.0587,,
1874-03-31,,8.64,,0.0698,12.05,0.0973,,,10.28,4.73,123.91,,,11.43,,,,,,,,,,,0.054000000000000006,,,,,,,12.37,,,,,,,,,,,,-0.065,,
1874-06-30,,9.06,,0.07400000000000001,12.63,0.10310000000000001,,,9.7,4.46,122.48,,,11.19,,,,,,,,,,,0.053,,,,,,,11.8,,,,,,,,,,,,-0.0605,,
1874-09-30,,9.06,,0.0727,12.63,0.1013,,,9.87,4.54,124.68,,,11.28,,,,,,,,,,,0.052000000000000005,,,,,,,11.8,,,,,,,,,,,,-0.0605,,
1874-12-31,,9.29,,0.0727,12.95,0.1013,,,9.87,4.54,127.82,,,11.45,,,,,,,,,,,0.051,,,,,,,11.51,,,,,,,,,,,,-0.055,,
1875-03-31,,9.08,,0.0703,12.25,0.09480000000000001,,,10.55,4.59,129.23,,,11.48,,,,,,,,,,,0.0499,,,,,,,11.51,,,,,,,,,,,,-0.0695,,
1875-06-30,,9.17,,0.0719,11.94,0.09359999999999999,,,10.68,4.38,127.53,,,11.28,,,,,,,,,,,0.0487,,,,,,,11.13,,,,,,,,,,,,-0.056799999999999996,,
1875-09-30,,8.95,,0.0704,11.21,0.08810000000000001,,,11.35,4.37,127.23,,,11.24,,,,,,,,,,,0.0475,,,,,,,11.13,,,,,,,,,,,,-0.056799999999999996,,
1875-12-31,,8.89,,0.06860000000000001,10.66,0.0824,,,12.14,4.37,129.44,,,11.45,,,,,,,,,,,0.0463,,,,,,,10.94,,,,,,,,,,,,-0.0495,,
1876-03-31,,8.96,,0.0665,10.15,0.0754,,,13.26,4.51,134.7,,,11.95,,,,,,,,,,,0.045700000000000005,,,,,,,10.85,,,,,,,,,,,,-0.057300000000000004,,
1876-06-30,,9.63,,0.0723,10.28,0.0771,,,12.97,4.15,133.28,,,11.88,,,,,,,,,,,0.0453,,,,,,,10.09,,,,,,,,,,,,-0.0934,,
1876-09-30,,9.46,,0.08130000000000001,9.46,0.08130000000000001,,,12.3,3.69,116.32,,,10.42,,,,,,,,,,,0.045,,,,,,,10.28,,,,,,,,,,,,-0.0764,,
